goalie_id,goalie_name,total_shots_faced,total_xGA,total_GA,raw_gsax,regressed_gsax,league_sv_pct,calculated_at
8478916,Joey Daccord,4280,384.122,297,87.122,78.0089,0.9254,2025-12-15 10:13:14.910556
8478965,Kenneth Appleby,15,2.3325,4,-1.6675,-0.0486,0.9254,2025-12-15 10:13:14.910556
8478971,Connor Ingram,736,51.0413,38,13.0413,7.7657,0.9254,2025-12-15 10:13:14.910556
8478971,,15,0.6229,0,0.6229,0.0181,0.9254,2025-12-15 10:13:14.910556
8478971,Connor Ingram,2414,229.9312,193,36.9312,30.5944,0.9254,2025-12-15 10:13:14.910556
8479193,Casey DeSmith,181,12.051,14,-1.949,-0.518,0.9254,2025-12-15 10:13:14.910556
8479193,Casey DeSmith,2852,259.559,214,45.559,38.7632,0.9254,2025-12-15 10:13:14.910556
8479292,Charlie Lindgren,423,29.1541,14,15.1541,6.945,0.9254,2025-12-15 10:13:14.910556
8479292,Charlie Lindgren,3566,326.1785,259,67.1785,58.9175,0.9254,2025-12-15 10:13:14.910556
8479312,Alex Lyon,265,18.4329,17,1.4329,0.4963,0.9254,2025-12-15 10:13:14.910556
8479312,Alex Lyon,2502,221.4314,190,31.4314,26.1964,0.9254,2025-12-15 10:13:14.910556
8479361,Joseph Woll,883,64.0085,60,4.0085,2.5593,0.9254,2025-12-15 10:13:14.910556
8479361,,10,1.943,0,1.943,0.0381,0.9254,2025-12-15 10:13:14.910556
8479361,Joseph Woll,3478,303.2328,240,63.2328,55.285,0.9254,2025-12-15 10:13:14.910556
8479394,Carter Hart,664,42.9698,40,2.9698,1.6941,0.9254,2025-12-15 10:13:14.910556
8479394,Carter Hart,684,56.7002,58,-1.2998,-0.7509,0.9254,2025-12-15 10:13:14.910556
8479406,Filip Gustavsson,737,44.5356,58,-13.4644,-8.022,0.9254,2025-12-15 10:13:14.910556
8479406,Filip Gustavsson,4238,364.2481,319,45.2481,40.4731,0.9254,2025-12-15 10:13:14.910556
8479496,,19,1.4083,5,-3.5917,-0.1315,0.9254,2025-12-15 10:13:14.910556
8479496,David Rittich,2528,235.4484,204,31.4484,26.2554,0.9254,2025-12-15 10:13:14.910556
8479973,Stuart Skinner,841,58.5659,56,2.5659,1.6092,0.9254,2025-12-15 10:13:14.910556
8479973,Stuart Skinner,6120,558.5091,464,94.5091,87.3709,0.9254,2025-12-15 10:13:14.910556
8479979,Jake Oettinger,1095,72.8787,68,4.8787,3.3493,0.9254,2025-12-15 10:13:14.910556
8479979,Jake Oettinger,5399,477.933,397,80.933,74.0731,0.9254,2025-12-15 10:13:14.910556
8480045,Ukko-Pekka Luukkonen,448,33.4429,38,-4.5571,-2.1536,0.9254,2025-12-15 10:13:14.910556
8480045,Ukko-Pekka Luukkonen,4145,376.5314,339,37.5314,33.4914,0.9254,2025-12-15 10:13:14.910556
8480051,Cayden Primeau,478,35.0539,33,2.0539,1.0038,0.9254,2025-12-15 10:13:14.910556
8480051,Cayden Primeau,1244,116.0443,123,-6.9557,-4.9615,0.9254,2025-12-15 10:13:14.910556
8480191,Matt Villalta,37,3.7461,5,-1.2539,-0.0864,0.9254,2025-12-15 10:13:14.910556
8480193,Daniil Tarasov,2045,185.6427,167,18.6427,14.9801,0.9254,2025-12-15 10:13:14.910556
8480238,Jiri Patera,304,27.7166,32,-4.2834,-1.6196,0.9254,2025-12-15 10:13:14.910556
8480280,Jeremy Swayman,495,33.6314,18,15.6314,7.7764,0.9254,2025-12-15 10:13:14.910556
