player_id,situation,on_ice_xgf,on_ice_xga,shots_for_count,shots_against_count
8476958,5v5,0.3817395120859146,0.5535454130731523,7,4
8477021,5v5,0.0,0.33741010911762714,0,4
8477070,5v5,0.07233923673629761,0.438189586129738,3,8
8477070,PK,0.0033138105645775795,0.0,1,0
8477335,5v5,0.024469036608934402,0.09177183359861374,1,1
8477365,5v5,0.09930041804909706,0.0,3,0
8477369,5v5,0.7694726730041486,0.510780535699572,12,8
8477369,PK,0.13499907779781897,0.0,2,0
8477401,5v5,0.007190200034528971,0.19822991639375687,1,4
8477402,5v5,0.014761192724108696,0.19541751220822334,1,2
8477404,5v5,0.223380908370018,0.1604211013764143,2,4
8477404,PK,1.096525378525257,0.0,4,0
8477407,5v5,0.2142459712922573,0.25969422422349453,2,2
8477409,5v5,1.9173203898859406,0.7580095765773445,22,16
8477409,PK,0.06243099443374706,0.22537613145369959,1,3
8477409,PP,0.2362634549541704,0.0,2,0
8477416,5v5,0.1390494890511036,0.09437188506126404,3,1
8477426,5v5,0.20626024156808853,0.18560682609677315,3,4
8477426,PK,0.9771968275308609,0.0,3,0
8477444,5v5,0.695525580920662,0.9989875257050898,14,13
8477444,PK,0.20584611993295412,0.0,2,0
8477444,PP,0.0,0.014414505164169481,0,1
8477447,5v5,0.028404299169778824,0.0,1,0
8477450,5v5,0.39197798666322736,0.7028407488074461,7,8
8477450,PK,0.20584611993295412,0.0,2,0
8477450,PP,0.0,0.014414505164169481,0,1
8477451,5v5,0.11298717185854912,0.3440833054482937,2,6
8477476,5v5,0.41223711127830476,0.6365632087735765,7,8
8477476,PK,0.2709564177343853,0.20309896671019015,3,4
8477479,5v5,0.8527604529805133,1.388491991129476,15,15
8477479,PK,0.22537613145369959,0.0,3,0
8477479,PP,0.0,0.22184894979000092,0,1
8477492,5v5,0.8270498483615245,0.6230625576615136,14,6
8477492,PK,0.38964697814744675,0.18939129449427128,4,2
8477494,5v5,0.18422596482560039,0.08116264641284943,5,1
8477495,5v5,0.9200403879744855,0.5384325839251942,9,10
8477495,PK,0.11712919368349711,0.0,2,0
8477496,5v5,0.5835213288664818,0.09947295114398003,4,2
8477496,PK,0.19650245644152164,0.5011939667165279,3,3
8477500,5v5,0.9112268406897783,0.5380546506494284,7,3
8477500,PK,0.0003524911589920521,0.31534984707832336,1,2
8477500,PP,0.12336621433496475,0.0,1,0
8477501,5v5,0.6378026999266627,0.39734702225145263,12,9
8477501,PK,0.2220339322629772,0.0,3,0
8477503,5v5,0.16451860591769218,0.2727469801902771,3,2
8477504,5v5,0.38398746724124067,0.0,6,0
8477504,PK,0.0,0.0033138105645775795,0,1
8477505,5v5,0.24648944474756718,0.4000967275351286,5,5
8477506,5v5,0.6288087461143732,0.4430516418069601,5,3
8477506,PK,0.0003524911589920521,0.31534984707832336,1,2
8477506,PP,0.12336621433496475,0.0,1,0
8477507,5v5,0.8088821526616812,0.05829301290214062,7,2
8477507,PK,0.0,0.5011939667165279,0,3
8477511,5v5,0.9321651577390553,1.0304982632744522,10,13
8477511,PK,0.0,0.13499907779781897,0,2
8477839,5v5,0.6417823670236068,0.5039123371243477,11,3
8477839,PK,0.13499907779781897,0.0,2,0
8477851,5v5,0.41872309148311615,0.0,3,0
8477919,5v5,0.4863859936594963,0.011568985879421234,3,1
8477919,PK,0.20947800017893314,0.0,3,0
8477932,5v5,1.2119911737053617,0.7534147225851547,19,14
8477932,PK,0.24575059659911688,0.01953001152074546,3,1
8477932,PP,0.22184894979000092,0.0,1,0
8477933,5v5,0.6208826068647819,0.31445850645406104,8,5
